Name,Time,Cumulative PnL
TKSPY,2019-Oct-30 19:23:17.400000,5068.266800
TKSPY,2019-Oct-30 19:24:25.966000,6248.534400
TKSPY,2019-Oct-30 19:25:32.941000,6009.662400
TKSPY,2019-Oct-30 19:26:46.282000,5313.150800
TKSPY,2019-Oct-30 19:28:00.187000,5509.980000
TKSPY,2019-Oct-30 19:29:10.935000,5312.800600
TKSPY,2019-Oct-30 19:30:11.654000,5422.263600
TKSPY,2019-Oct-30 19:31:22.253000,5377.503600
TKSPY,2019-Oct-30 19:32:29.564000,5245.284800
TKSPY,2019-Oct-30 19:33:33.763000,5178.580400
TKSPY,2019-Oct-30 19:34:51.102000,4642.818800
TKSPY,2019-Oct-30 19:35:54.470000,4664.928000
TKSPY,2019-Oct-30 19:37:16.627000,4574.856000
TKSPY,2019-Oct-30 19:38:28.654000,4687.282800
TKSPY,2019-Oct-30 19:39:40.317000,4484.514800
TKSPY,2019-Oct-30 19:40:43.747000,4802.337200
TKSPY,2019-Oct-30 19:41:53.814000,4847.994400
TKSPY,2019-Oct-30 19:43:01.913000,4756.464000
TKSPY,2019-Oct-30 19:44:09.532000,4504.522000
TKSPY,2019-Oct-30 19:45:19.196000,4389.123200
TKSPY,2019-Oct-30 19:46:26.657000,4504.763000
TKSPY,2019-Oct-30 19:47:37.925000,4133.023800
TKSPY,2019-Oct-30 19:48:37.956000,4179.662800
TKSPY,2019-Oct-30 19:49:45.532000,4318.645000
TKSPY,2019-Oct-30 19:50:48.836000,4977.416800
TKSPY,2019-Oct-30 19:51:58.372000,5309.560400
TKSPY,2019-Oct-30 19:53:04.804000,4713.138000
TKSPY,2019-Oct-30 19:54:15.269000,5505.864400
TKSPY,2019-Oct-30 19:55:21.733000,5139.422800
TKSPY,2019-Oct-30 19:56:27.590000,5386.027600
TKSPY,2019-Oct-30 19:57:33.183000,4693.345600
TKSPY,2019-Oct-30 19:58:37.149000,4492.335600
TKSPY,2019-Oct-30 19:59:41.940000,4953.262400
TKSPY,2019-Oct-30 20:01:28.620000,5676.555200
TKSPY,2019-Oct-30 20:04:50.441000,5676.555200
TKSPY,2019-Oct-30 20:11:12.169000,5676.555200
TKSPY,2019-Oct-30 20:13:04.228000,5676.555200
TKSPY,2019-Oct-30 20:14:30.197000,5676.555200
TKSPY,2019-Oct-30 20:16:02.190000,5676.555200
TKSPY,2019-Oct-30 20:31:08.515000,5676.555200
TKSPY,2019-Oct-30 20:38:42.678000,5676.555200
TKSPY,2019-Oct-30 20:46:09.191000,5676.555200
TKSPY,2019-Oct-30 20:49:28.368000,5676.555200
TKSPY,2019-Oct-30 20:50:49.296000,5676.555200
TKSPY,2019-Oct-30 20:51:52.948000,5676.555200
TKSPY,2019-Oct-30 20:54:10.506000,5676.555200
TKSPY,2019-Oct-31 13:30:20.102000,-0.096000
TKSPY,2019-Oct-31 13:31:34.746000,-1.618000
TKSPY,2019-Oct-31 13:32:48.656000,-2.057600
TKSPY,2019-Oct-31 13:33:57.452000,-1.129600
TKSPY,2019-Oct-31 13:35:02.624000,-8.236400
TKSPY,2019-Oct-31 13:36:08.192000,-6.450800
TKSPY,2019-Oct-31 13:37:15.922000,-13.138000
TKSPY,2019-Oct-31 13:38:25.858000,-20.255200
TKSPY,2019-Oct-31 13:39:40.830000,-23.619600
TKSPY,2019-Oct-31 13:40:54.322000,-31.203200
TKSPY,2019-Oct-31 13:42:02.113000,-28.357200
TKSPY,2019-Oct-31 13:43:02.647000,-10.859000
TKSPY,2019-Oct-31 13:44:11.747000,16.449600
TKSPY,2019-Oct-31 13:45:39.640000,-14.610000
TKSPY,2019-Oct-31 13:46:45.311000,-6.740800
TKSPY,2019-Oct-31 13:48:00.814000,0.324800
TKSPY,2019-Oct-31 13:49:02.560000,15.066800
TKSPY,2019-Oct-31 13:50:04.243000,23.163600
TKSPY,2019-Oct-31 13:51:20.896000,-4.696000
TKSPY,2019-Oct-31 13:52:39.379000,12.367200
TKSPY,2019-Oct-31 13:54:08.313000,9.327600
TKSPY,2019-Oct-31 13:55:09.642000,6.309200
TKSPY,2019-Oct-31 13:56:27.280000,-9.226800
TKSPY,2019-Oct-31 13:57:34.816000,-15.631600
